issuer
安徽新华发行(集团)控股有限公司
宝山钢铁股份有限公司
北方联合电力有限责任公司
北京昌平科技园发展有限公司
北京广安控股集团有限公司
北京国有资本经营管理中心
北京汽车集团产业投资有限公司
北京汽车集团有限公司
北京市朝阳区国有资本经营管理中心
北京市海淀区国有资本经营管理中心
北京市基础设施投资有限公司
北京市首都公路发展集团有限公司
北京首都开发控股(集团)有限公司
北京首都旅游集团有限责任公司
北京顺鑫控股集团有限公司
北京天恒置业集团有限公司
北京未来科学城发展集团有限公司
北京新能源汽车股份有限公司
北京银行股份有限公司
北京住总集团有限责任公司
北控水务集团有限公司
碧桂园地产集团有限公司
滨化集团股份有限公司
长城国兴金融租赁有限公司
长沙先导投资控股集团有限公司
成都轨道交通集团有限公司
成都兴城投资集团有限公司
成都银行股份有限公司
大连银行股份有限公司
大唐山东发电有限公司
大同煤矿集团有限责任公司
东莞农村商业银行股份有限公司
东莞银行股份有限公司
烽火通信科技股份有限公司
福建福能股份有限公司
福建海峡银行股份有限公司
福建龙净环保股份有限公司
歌尔股份有限公司
光大证券股份有限公司
光明房地产集团股份有限公司
广东海大集团股份有限公司
广东省出版集团有限公司
广发银行股份有限公司
广州农村商业银行股份有限公司
广州市城市建设开发有限公司
贵州省广播电视信息网络股份有限公司
国电电力发展股份有限公司
国电南京自动化股份有限公司
国家电力投资集团有限公司
国家能源投资集团有限责任公司
国泰君安证券股份有限公司
国信证券股份有限公司
海尔集团(青岛)金融控股有限公司
海通证券股份有限公司
海信集团有限公司
海盐县国有资产经营有限公司
杭州富阳城市建设投资集团有限公司
杭州巨星科技股份有限公司
杭州市国有资本投资运营有限公司
杭州市金融投资集团有限公司
杭州银行股份有限公司
河北交通投资集团公司
河钢集团有限公司
河南省收费还贷高速公路管理有限公司
河南省豫资城乡一体化建设发展有限公司
湖北能源集团股份有限公司
湖北省广播电视信息网络股份有限公司
湖北省交通投资集团有限公司
湖北省联合发展投资集团有限公司
湖南华菱钢铁集团有限责任公司
湖南省高速公路集团有限公司
华侨城集团有限公司
华润水泥控股有限公司
华远地产股份有限公司
华远国际陆港集团有限公司
淮北矿业控股股份有限公司
徽商银行股份有限公司
吉林敖东药业集团股份有限公司
吉林电力股份有限公司
吉林银行股份有限公司
济南西城投资开发集团有限公司
冀银金融租赁股份有限公司
嘉兴国际商务区投资建设有限公司
嘉兴经济技术开发区投资发展集团有限责任公司
嘉兴科技城投资发展集团有限公司
嘉兴市城市投资发展集团有限公司
嘉兴市高等级公路投资有限公司
嘉兴市嘉秀发展投资控股集团有限公司
建德市国有资产经营有限公司
江苏凤凰出版传媒集团有限公司
江苏林洋能源股份有限公司
江苏省国信集团有限公司
